Samples,204252_at,211803_at,211804_s_at
GSM986540,35.5,5.146,7.682
GSM986541,14.52,5.207000000000001,5.95
GSM986542,14.18,5.148,7.38
GSM986543,42.11,5.06,6.229
GSM986544,28.46,5.143,5.7860000000000005
GSM986545,21.52,5.117,5.985
GSM986546,16.66,5.138999999999999,5.811
GSM986547,23.67,5.17,6.495
GSM986548,10.76,5.777,6.022
GSM986549,10.78,5.242000000000001,5.907
