Samples,204252_at,211803_at,211804_s_at
GSM637954,1743.34,1.98,11.29
GSM637955,963.82,1.73,10.14
GSM637956,858.1,1.24,12.14
GSM637957,658.1,1.04,8.35
GSM637958,910.71,4.63,11.85
GSM637959,1308.48,2.64,35.08
GSM637960,896.96,1.57,37.98
GSM637961,759.98,2.13,27.29
GSM637962,873.14,4.4,22.26
GSM637963,954.68,1.53,10.09
GSM637966,94.93,6.74,3.93
GSM637967,91.75,5.52,9.02
GSM637968,97.23,7.83,12.26
GSM637969,83.26,4.34,9.24
